original_feature,importance,importance_pct
red_last_10_avg_td_success_against,0.0021772496,0.0021772499
red_career_decision_win_rate,0.0021758,0.0021758003
diff_career_avg_win,0.0021737372,0.0021737374
blue_career_finish_loss_rate,0.0021694847,0.002169485
blue_last_3_avg_total_str_attempted_for,0.0021678614,0.0021678617
red_last_3_avg_td_attempted_against,0.0021642467,0.002164247
blue_last_5_avg_ctrl_seconds_against,0.0021634756,0.0021634758
diff_last_3_td_acc_for,0.002163002,0.0021630023
blue_last_3_avg_td_success_for,0.0021589007,0.002158901
diff_last_10_avg_total_str_landed_for,0.0021527577,0.002152758
blue_last_10_avg_total_str_attempted_for,0.0021519172,0.0021519174
diff_career_losses,0.002151638,0.0021516383
red_career_submission_win_rate,0.0021481623,0.0021481626
red_last_3_avg_total_str_attempted_against,0.002147532,0.0021475323
diff_career_avg_finish_win,0.0021452957,0.002145296
diff_last_3_avg_td_attempted_for,0.002141266,0.0021412661
diff_last_10_avg_kd_against,0.0021401758,0.002140176
red_career_avg_ctrl_seconds_for,0.0021395462,0.0021395464
blue_career_avg_sig_landed_against,0.002135269,0.0021352693
diff_last_3_avg_submission_loss,0.00213344,0.0021334402
diff_last_3_avg_td_attempted_against,0.0021279699,0.00212797
blue_career_sig_acc_for,0.0021262,0.0021262001
red_last_10_sig_acc_against,0.0021243352,0.0021243354
blue_last_10_avg_kd_against,0.0021241072,0.0021241074
diff_last_5_avg_total_str_attempted_for,0.0021226015,0.0021226017
blue_last_10_avg_kd_for,0.0021225254,0.0021225256
red_last_5_avg_total_str_attempted_against,0.0021186133,0.0021186136
blue_last_5_avg_sig_attempted_for,0.0021082745,0.0021082747
diff_last_10_fight_count,0.0021050475,0.0021050477
diff_career_td_acc_for,0.0020991703,0.0020991706
diff_last_3_sig_acc_against,0.00209559,0.0020955903
diff_career_submission_win_rate,0.0020952637,0.002095264
diff_last_3_avg_kd_for,0.002092006,0.0020920062
blue_height_inches,0.00208909,0.0020890902
diff_last_10_avg_td_success_for,0.0020851563,0.0020851565
blue_career_avg_rev_for,0.0020838887,0.002083889
blue_last_5_avg_td_attempted_for,0.0020781078,0.002078108
diff_career_avg_sig_attempted_against,0.0020773537,0.002077354
red_career_avg_ko_tko_win,0.0020728835,0.0020728838
weight_class_Lightweight,0.0020719501,0.0020719504
diff_career_avg_ko_tko_loss,0.0020715096,0.0020715098
diff_last_3_sig_acc_for,0.0020692567,0.002069257
blue_last_3_avg_sub_att_against,0.0020677473,0.0020677475
diff_career_avg_total_str_landed_for,0.0020653815,0.0020653817
diff_last_10_avg_sig_landed_for,0.0020597666,0.0020597668
red_last_10_avg_td_attempted_against,0.0020504212,0.0020504214
blue_career_avg_td_attempted_for,0.002050211,0.0020502112
diff_last_10_avg_ctrl_seconds_against,0.002044104,0.0020441043
diff_last_10_sig_acc_for,0.0020432284,0.0020432286
red_last_3_avg_fight_duration_seconds,0.0020375575,0.0020375578
red_career_avg_fight_duration_seconds,0.002037178,0.0020371783
blue_career_avg_ctrl_seconds_against,0.0020343692,0.0020343694
diff_last_5_avg_sub_att_against,0.002031504,0.0020315042
diff_last_3_avg_sub_att_for,0.0020313687,0.002031369
red_career_td_acc_against,0.0020297396,0.0020297398
blue_last_3_avg_sig_attempted_against,0.0020281472,0.0020281475
diff_career_fights,0.0020274746,0.0020274748
blue_career_avg_kd_for,0.0020238075,0.0020238077
diff_career_avg_sub_att_against,0.0020235227,0.002023523
diff_career_avg_rev_for,0.0020223032,0.0020223034
red_last_3_avg_sig_landed_against,0.002020016,0.0020200163
diff_last_5_avg_ko_tko_loss,0.0020197358,0.002019736
diff_last_5_avg_total_str_landed_against,0.0020190128,0.002019013
diff_last_5_avg_submission_loss,0.0020186226,0.0020186228
red_last_10_avg_total_str_attempted_for,0.0020181658,0.002018166
red_last_10_avg_decision_win,0.002010229,0.0020102293
diff_last_10_avg_decision_win,0.0020032073,0.0020032076
blue_last_5_sig_acc_for,0.0020028753,0.0020028756
red_last_3_avg_sub_att_against,0.002002504,0.0020025042
red_last_10_sig_acc_for,0.0019951826,0.0019951828
diff_last_5_avg_ctrl_seconds_for,0.001993449,0.0019934492
blue_age_years,0.0019914866,0.0019914869
