raceId,driverId,duplicate_rows,differing_columns
795,554,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, statusId"
797,501,2,"resultId, number, grid, position, positionText, positionOrder, laps, statusId"
797,608,2,"resultId, number, grid, position, positionText, positionOrder, laps, statusId"
800,509,2,"resultId, number, grid, positionOrder, laps, statusId"
800,518,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, time, milliseconds, statusId"
800,529,2,"resultId, number, grid, position, positionText, positionOrder, laps, statusId"
800,556,2,"resultId, constructorId, number, grid, positionOrder, laps, statusId"
800,593,2,"resultId, number, grid, position, positionText, positionOrder, laps, time, milliseconds, statusId"
800,611,2,"resultId, number, grid, position, positionText, positionOrder, laps, time, milliseconds, statusId"
800,612,3,"resultId, constructorId, number, grid, position, positionText, positionOrder, laps, time, milliseconds, statusId"
800,613,2,"resultId, number, grid, position, positionText, positionOrder, laps, statusId"
800,653,2,"resultId, number, grid, position, positionText, positionOrder, laps, time, milliseconds, statusId"
800,659,2,"resultId, number, grid, position, positionText, positionOrder, laps, time, milliseconds, statusId"
800,702,2,"resultId, constructorId, number, grid, position, positionText, positionOrder, laps, statusId"
800,730,2,"resultId, constructorId, number, grid, position, positionText, positionOrder, laps, statusId"
801,498,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, statusId"
803,647,2,"resultId, number, grid, positionOrder, laps"
804,578,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, time, milliseconds, statusId"
806,498,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, statusId"
809,509,2,"resultId, number, grid, position, positionText, positionOrder, laps, time, milliseconds, statusId"
809,512,2,"resultId, constructorId, number, grid, positionOrder, laps, statusId"
809,518,2,"resultId, constructorId, number, grid, position, positionText, positionOrder, points, laps, time, milliseconds, statusId"
809,520,2,"resultId, constructorId, number, grid, position, positionText, positionOrder, laps"
809,521,3,"resultId, constructorId, number, grid, position, positionText, positionOrder, laps, statusId"
809,555,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, time, milliseconds, statusId"
809,612,3,"resultId, constructorId, number, grid, position, positionText, positionOrder, laps, statusId"
809,702,2,"resultId, constructorId, number, grid, position, positionText, positionOrder, laps, statusId"
810,498,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, statusId"
811,579,2,"resultId, number, grid, positionOrder, laps, statusId"
814,633,2,"resultId, number, grid, position, positionText, positionOrder, laps, statusId"
